record_id,student_id,group_id,session_type,session_datetime,status
AT000001,S0005,G01,session,2025-12-04 16:00:00,P
AT000002,S0009,G01,session,2025-12-04 16:00:00,P
AT000003,S0014,G01,session,2025-12-04 16:00:00,P
AT000004,S0016,G01,session,2025-12-04 16:00:00,P
AT000005,S0021,G01,session,2025-12-04 16:00:00,P
AT000006,S0032,G01,session,2025-12-04 16:00:00,P
AT000007,S0040,G01,session,2025-12-04 16:00:00,P
AT000008,S0046,G01,session,2025-12-04 16:00:00,A
AT000009,S0053,G01,session,2025-12-04 16:00:00,A
AT000010,S0057,G01,session,2025-12-04 16:00:00,P
AT000011,S0094,G01,session,2025-12-04 16:00:00,P
AT000012,S0095,G01,session,2025-12-04 16:00:00,P
AT000013,S0125,G01,session,2025-12-04 16:00:00,P
AT000014,S0128,G01,session,2025-12-04 16:00:00,A
AT000015,S0131,G01,session,2025-12-04 16:00:00,P
AT000016,S0134,G01,session,2025-12-04 16:00:00,P
AT000017,S0138,G01,session,2025-12-04 16:00:00,P
AT000018,S0143,G01,session,2025-12-04 16:00:00,P
AT000019,S0145,G01,session,2025-12-04 16:00:00,A
AT000020,S0146,G01,session,2025-12-04 16:00:00,P
AT000021,S0173,G01,session,2025-12-04 16:00:00,A
AT000022,S0174,G01,session,2025-12-04 16:00:00,P
AT000023,S0192,G01,session,2025-12-04 16:00:00,P
AT000024,S0196,G01,session,2025-12-04 16:00:00,P
AT000025,S0238,G01,session,2025-12-04 16:00:00,A
AT000026,S0239,G01,session,2025-12-04 16:00:00,P
AT000027,S0245,G01,session,2025-12-04 16:00:00,P
AT000028,S0262,G01,session,2025-12-04 16:00:00,A
AT000029,S0265,G01,session,2025-12-04 16:00:00,P
AT000030,S0278,G01,session,2025-12-04 16:00:00,P
AT000031,S0310,G01,session,2025-12-04 16:00:00,P
AT000032,S0313,G01,session,2025-12-04 16:00:00,P
AT000033,S0324,G01,session,2025-12-04 16:00:00,P
AT000034,S0329,G01,session,2025-12-04 16:00:00,P
AT000035,S0380,G01,session,2025-12-04 16:00:00,P
AT000036,S0383,G01,session,2025-12-04 16:00:00,P
AT000037,S0384,G01,session,2025-12-04 16:00:00,P
AT000038,S0395,G01,session,2025-12-04 16:00:00,P
AT000039,S0402,G01,session,2025-12-04 16:00:00,P
AT000040,S0407,G01,session,2025-12-04 16:00:00,P
AT000041,S0410,G01,session,2025-12-04 16:00:00,P
AT000042,S0420,G01,session,2025-12-04 16:00:00,P
AT000043,S0425,G01,session,2025-12-04 16:00:00,P
AT000044,S0433,G01,session,2025-12-04 16:00:00,P
AT000045,S0444,G01,session,2025-12-04 16:00:00,P
AT000046,S0454,G01,session,2025-12-04 16:00:00,P
AT000047,S0471,G01,session,2025-12-04 16:00:00,P
AT000048,S0474,G01,session,2025-12-04 16:00:00,P
AT000049,S0479,G01,session,2025-12-04 16:00:00,P
AT000050,S0482,G01,session,2025-12-04 16:00:00,P
AT000051,S0493,G01,session,2025-12-04 16:00:00,P
AT000052,S0499,G01,session,2025-12-04 16:00:00,P
AT000053,S0005,G01,session,2025-12-11 16:00:00,P
AT000054,S0009,G01,session,2025-12-11 16:00:00,A
AT000055,S0014,G01,session,2025-12-11 16:00:00,P
AT000056,S0016,G01,session,2025-12-11 16:00:00,P
AT000057,S0021,G01,session,2025-12-11 16:00:00,P
AT000058,S0032,G01,session,2025-12-11 16:00:00,P
AT000059,S0040,G01,session,2025-12-11 16:00:00,P
AT000060,S0046,G01,session,2025-12-11 16:00:00,P
AT000061,S0053,G01,session,2025-12-11 16:00:00,A
AT000062,S0057,G01,session,2025-12-11 16:00:00,P
AT000063,S0094,G01,session,2025-12-11 16:00:00,P
AT000064,S0095,G01,session,2025-12-11 16:00:00,P
AT000065,S0125,G01,session,2025-12-11 16:00:00,P
AT000066,S0128,G01,session,2025-12-11 16:00:00,P
AT000067,S0131,G01,session,2025-12-11 16:00:00,P
AT000068,S0134,G01,session,2025-12-11 16:00:00,P
AT000069,S0138,G01,session,2025-12-11 16:00:00,A
AT000070,S0143,G01,session,2025-12-11 16:00:00,P
AT000071,S0145,G01,session,2025-12-11 16:00:00,P
AT000072,S0146,G01,session,2025-12-11 16:00:00,P
AT000073,S0173,G01,session,2025-12-11 16:00:00,P
AT000074,S0174,G01,session,2025-12-11 16:00:00,P
AT000075,S0192,G01,session,2025-12-11 16:00:00,P
AT000076,S0196,G01,session,2025-12-11 16:00:00,P
AT000077,S0238,G01,session,2025-12-11 16:00:00,P
AT000078,S0239,G01,session,2025-12-11 16:00:00,P
AT000079,S0245,G01,session,2025-12-11 16:00:00,P
AT000080,S0262,G01,session,2025-12-11 16:00:00,P
AT000081,S0265,G01,session,2025-12-11 16:00:00,P
AT000082,S0278,G01,session,2025-12-11 16:00:00,P
AT000083,S0310,G01,session,2025-12-11 16:00:00,P
AT000084,S0313,G01,session,2025-12-11 16:00:00,A
AT000085,S0324,G01,session,2025-12-11 16:00:00,P
AT000086,S0329,G01,session,2025-12-11 16:00:00,P
AT000087,S0380,G01,session,2025-12-11 16:00:00,A
AT000088,S0383,G01,session,2025-12-11 16:00:00,P
AT000089,S0384,G01,session,2025-12-11 16:00:00,P
AT000090,S0395,G01,session,2025-12-11 16:00:00,P
AT000091,S0402,G01,session,2025-12-11 16:00:00,P
AT000092,S0407,G01,session,2025-12-11 16:00:00,P
AT000093,S0410,G01,session,2025-12-11 16:00:00,P
AT000094,S0420,G01,session,2025-12-11 16:00:00,A
AT000095,S0425,G01,session,2025-12-11 16:00:00,P
AT000096,S0433,G01,session,2025-12-11 16:00:00,P
AT000097,S0444,G01,session,2025-12-11 16:00:00,P
AT000098,S0454,G01,session,2025-12-11 16:00:00,P
AT000099,S0471,G01,session,2025-12-11 16:00:00,P
AT000100,S0474,G01,session,2025-12-11 16:00:00,A
AT000101,S0479,G01,session,2025-12-11 16:00:00,P
AT000102,S0482,G01,session,2025-12-11 16:00:00,P
AT000103,S0493,G01,session,2025-12-11 16:00:00,A
AT000104,S0499,G01,session,2025-12-11 16:00:00,P
AT000105,S0005,G01,session,2025-12-18 16:00:00,A
AT000106,S0009,G01,session,2025-12-18 16:00:00,P
AT000107,S0014,G01,session,2025-12-18 16:00:00,A
AT000108,S0016,G01,session,2025-12-18 16:00:00,P
AT000109,S0021,G01,session,2025-12-18 16:00:00,P
AT000110,S0032,G01,session,2025-12-18 16:00:00,A
AT000111,S0040,G01,session,2025-12-18 16:00:00,P
AT000112,S0046,G01,session,2025-12-18 16:00:00,A
AT000113,S0053,G01,session,2025-12-18 16:00:00,P
AT000114,S0057,G01,session,2025-12-18 16:00:00,P
AT000115,S0094,G01,session,2025-12-18 16:00:00,P
AT000116,S0095,G01,session,2025-12-18 16:00:00,P
AT000117,S0125,G01,session,2025-12-18 16:00:00,P
AT000118,S0128,G01,session,2025-12-18 16:00:00,P
AT000119,S0131,G01,session,2025-12-18 16:00:00,P
AT000120,S0134,G01,session,2025-12-18 16:00:00,P
AT000121,S0138,G01,session,2025-12-18 16:00:00,P
AT000122,S0143,G01,session,2025-12-18 16:00:00,P
AT000123,S0145,G01,session,2025-12-18 16:00:00,P
AT000124,S0146,G01,session,2025-12-18 16:00:00,P
AT000125,S0173,G01,session,2025-12-18 16:00:00,P
AT000126,S0174,G01,session,2025-12-18 16:00:00,P
AT000127,S0192,G01,session,2025-12-18 16:00:00,P
